,,,HSN Code,Product Name,Vendor,Date,Units,Cost,Amount
,,,N1005,Mouse,GG Traders,2024-01-01 00:00:00,20,200,4000
,,,N1008,Headphones,Compac,2024-01-02 00:00:00,10,799,7990
,,,N1006,Rgb Keyboard,GG Traders,2024-01-03 00:00:00,50,340,17000
,,,N1004,Desktop,GG Traders,2024-01-04 00:00:00,100,21000,2100000
, ,,N1007,Camera,GG Traders,2024-01-05 00:00:00,20,52000,1040000
,,,N1001,Smart Watch,Tech99,2024-01-06 00:00:00,40,980,39200
,,,N1002,Laptop HP xyz i5,Tech99,2024-01-07 00:00:00,30,34500,1035000
,,,N1003,Wireless Printer,Tech99,2024-01-08 00:00:00,40,4600,184000
,,,N1009,Speakers,Compac,2024-01-09 00:00:00,55,670,36850
,,,N1010,Tablets,Compac,2024-01-10 00:00:00,40,23500,940000
,,,N1008,Headphones,Compac,2024-01-10 00:00:00,35,799,27965
,,,N1007,Camera,GG Traders,2024-01-10 00:00:00,2,52000,104000
,,,N1008,Headphones,Compac,2024-01-10 00:00:00,10,799,7990
